IndexNum,Week,VisitorName,HomeTeam,GameDate,GameTime,DisplayValue,InPool,PointSpread,GameId,VS,Station,Mobile
140,2,Holy Cross,Buffalo,09/10/22,06:00:00 PM,,No,,,,,,
141,2,Robert Morris,Miami (OH),09/10/22,06:00:00 PM,,No,,,,,,
142,2,Gardner-Webb,Coastal Carolina,09/10/22,06:00:00 PM,,No,,,,,,
143,2,SE Louisiana,Florida Atlantic,09/10/22,06:00:00 PM,,No,,,,,,
144,2,UAB,Liberty,09/10/22,06:00:00 PM,,No,,,,,,
145,2,Kentucky,Florida,09/10/22,07:00:00 PM,,No,,,,,,
146,2,Central Arkansas,Ole Miss,09/10/22,07:00:00 PM,,No,,,,,,
147,2,Kent State,Oklahoma,09/10/22,07:00:00 PM,,No,,,,,,
148,2,Syracuse,UConn,09/10/22,07:00:00 PM,,No,,,,,,
149,2,Western Carolina,Georgia Tech,09/10/22,07:00:00 PM,,No,,,,,,
150,2,UMass,Toledo,09/10/22,07:00:00 PM,,No,,,,,,
151,2,Weber State,Utah State,09/10/22,07:00:00 PM,,No,,,,,,
152,2,Alcorn State,Tulane,09/10/22,07:00:00 PM,,No,,,,,,
153,2,Lamar,SMU,09/10/22,07:00:00 PM,,No,,,,,,
154,2,Howard,South Florida,09/10/22,07:00:00 PM,,No,,,,,,
155,2,Northern Illinois,Tulsa,09/10/22,07:00:00 PM,,No,,,,,,
156,2,Eastern Michigan,Louisiana,09/10/22,07:00:00 PM,,No,,,,,,
157,2,Alabama A&M,Troy,09/10/22,07:00:00 PM,,No,,,,,,
158,2,Florida International,Texas State,09/10/22,07:00:00 PM,,No,,,,,,
159,2,Stephen F. Austin,Louisiana Tech,09/10/22,07:00:00 PM,,No,,,,,,
160,2,San José State,Auburn,09/10/22,07:30:00 PM,,No,,,,,,
161,2,Southern,LSU,09/10/22,07:30:00 PM,,No,,,,,,
162,2,Arizona State,Oklahoma State,09/10/22,07:30:00 PM,,No,,,,,,
163,2,USC,Stanford,09/10/22,07:30:00 PM,,No,,,,,,
164,2,Georgia Southern,Nebraska,09/10/22,07:30:00 PM,,No,,,,,,
165,2,Texas Southern,North Texas,09/10/22,07:30:00 PM,,No,,,,,,
166,2,McNeese,Rice,09/10/22,07:30:00 PM,,No,,,,,,
167,2,Tarleton,TCU,09/10/22,08:00:00 PM,,No,,,,,,
168,2,Idaho,Indiana,09/10/22,08:00:00 PM,,No,,,,,,
169,2,Hawai'i,Michigan,09/10/22,08:00:00 PM,,No,,,,,,
170,2,Boston College,Virginia Tech,09/10/22,08:00:00 PM,,No,,,,,,
171,2,Nicholls,UL Monroe,09/10/22,08:00:00 PM,,No,,,,,,
172,2,Eastern Washington,Oregon,09/10/22,08:30:00 PM,,No,,,,,,
173,2,New Mexico State,UTEP,09/10/22,09:00:00 PM,,No,,,,,,
174,2,Baylor,BYU,09/10/22,10:15:00 PM,,No,,,,,,
175,2,Oregon State,Fresno State,09/10/22,10:30:00 PM,,No,,,,,,
176,2,Mississippi State,Arizona,09/10/22,11:00:00 PM,,No,,,,,,
177,3,Florida State,Louisville,09/16/22,07:30:00 PM,,No,,,,,,
178,3,Air Force,Wyoming,09/16/22,08:00:00 PM,,No,,,,,,
179,3,Stony Brook,UMass,09/17/22,,,No,,,,,,
180,3,Wofford,Virginia Tech,09/17/22,11:00:00 AM,,No,,,,,,
181,3,Youngstown State,Kentucky,09/17/22,12:00:00 PM,,No,,,,,,
182,3,Abilene Christian,Missouri,09/17/22,12:00:00 PM,,No,,,,,,
183,3,Georgia,South Carolina,09/17/22,12:00:00 PM,,No,,,,,,
184,3,Oklahoma,Nebraska,09/17/22,12:00:00 PM,,No,,,,,,
185,3,Texas State,Baylor,09/17/22,12:00:00 PM,,No,,,,,,
186,3,Villanova,Army,09/17/22,12:00:00 PM,,No,,,,,,
187,3,UConn,Michigan,09/17/22,12:00:00 PM,,No,,,,,,
188,3,Southern Illinois,Northwestern,09/17/22,12:00:00 PM,,No,,,,,,
189,3,Purdue,Syracuse,09/17/22,12:00:00 PM,,No,,,,,,
190,3,Cincinnati,Miami (OH),09/17/22,12:00:00 PM,,No,,,,,,
191,3,Long Island University,Kent State,09/17/22,12:00:00 PM,,No,,,,,,
192,3,Western Kentucky,Indiana,09/17/22,12:00:00 PM,,No,,,,,,
193,3,Towson,West Virginia,09/17/22,01:00:00 PM,,No,,,,,,
194,3,Buffalo,Coastal Carolina,09/17/22,01:00:00 PM,,No,,,,,,
195,3,Bucknell,Central Michigan,09/17/22,01:00:00 PM,,No,,,,,,
196,3,South Alabama,UCLA,09/17/22,02:00:00 PM,,No,,,,,,
197,3,Ohio,Iowa State,09/17/22,02:00:00 PM,,No,,,,,,
198,3,Rutgers,Temple,09/17/22,02:00:00 PM,,No,,,,,,
199,3,Old Dominion,Virginia,09/17/22,02:00:00 PM,,No,,,,,,
200,3,Murray State,Ball State,09/17/22,02:00:00 PM,,No,,,,,,
201,3,California,Notre Dame,09/17/22,02:30:00 PM,,No,,,,,,
202,3,Tulane,Kansas State,09/17/22,03:00:00 PM,,No,,,,,,
203,3,North Texas,UNLV,09/17/22,03:00:00 PM,,No,,,,,,
204,3,Penn State,Auburn,09/17/22,03:30:00 PM,,No,,,,,,
205,3,Ole Miss,Georgia Tech,09/17/22,03:30:00 PM,,No,,,,,,
206,3,Vanderbilt,Northern Illinois,09/17/22,03:30:00 PM,,No,,,,,,
207,3,Colorado,Minnesota,09/17/22,03:30:00 PM,,No,,,,,,
208,3,BYU,Oregon,09/17/22,03:30:00 PM,,No,,,,,,
209,3,New Mexico State,Wisconsin,09/17/22,03:30:00 PM,,No,,,,,,
210,3,Troy,Appalachian State,09/17/22,03:30:00 PM,,No,,,,,,
211,3,Georgia Southern,UAB,09/17/22,03:30:00 PM,,No,,,,,,
212,3,UL Monroe,Alabama,09/17/22,04:00:00 PM,,No,,,,,,
213,3,Kansas,Houston,09/17/22,04:00:00 PM,,No,,,,,,
214,3,UT Martin,Boise State,09/17/22,04:00:00 PM,,No,,,,,,
215,3,Colorado State,Washington State,09/17/22,05:00:00 PM,,No,,,,,,
216,3,Liberty,Wake Forest,09/17/22,05:00:00 PM,,No,,,,,,
217,3,Marshall,Bowling Green,09/17/22,05:00:00 PM,,No,,,,,,
218,3,Mississippi State,LSU,09/17/22,06:00:00 PM,,No,,,,,,
219,3,North Carolina A&T,Duke,09/17/22,06:00:00 PM,,No,,,,,,
220,3,Campbell,East Carolina,09/17/22,06:00:00 PM,,No,,,,,,
221,3,Missouri State,Arkansas,09/17/22,07:00:00 PM,,No,,,,,,
222,3,Akron,Tennessee,09/17/22,07:00:00 PM,,No,,,,,,
223,3,Texas Tech,NC State,09/17/22,07:00:00 PM,,No,,,,,,
224,3,Arkansas-Pine Bluff,Oklahoma State,09/17/22,07:00:00 PM,,No,,,,,,
225,3,Toledo,Ohio State,09/17/22,07:00:00 PM,,No,,,,,,
226,3,Jacksonville State,Tulsa,09/17/22,07:00:00 PM,,No,,,,,,
227,3,Northwestern State,Southern Miss,09/17/22,07:00:00 PM,,No,,,,,,
228,3,Arkansas State,Memphis,09/17/22,07:00:00 PM,,No,,,,,,
229,3,Charlotte,Georgia State,09/17/22,07:00:00 PM,,No,,,,,,
230,3,Tennessee State,Middle Tennessee,09/17/22,07:00:00 PM,,No,,,,,,
231,3,South Florida,Florida,09/17/22,07:30:00 PM,,No,,,,,,
232,3,Michigan State,Washington,09/17/22,07:30:00 PM,,No,,,,,,
233,3,Nevada,Iowa,09/17/22,07:30:00 PM,,No,,,,,,
234,3,SMU,Maryland,09/17/22,07:30:00 PM,,No,,,,,,
235,3,Maine,Boston College,09/17/22,07:30:00 PM,,No,,,,,,
236,3,Pittsburgh,Western Michigan,09/17/22,07:30:00 PM,,No,,,,,,
237,3,UCF,Florida Atlantic,09/17/22,07:30:00 PM,,No,,,,,,
238,3,Louisiana,Rice,09/17/22,07:30:00 PM,,No,,,,,,
239,3,Montana State,Oregon State,09/17/22,08:00:00 PM,,No,,,,,,
240,3,Louisiana Tech,Clemson,09/17/22,08:00:00 PM,,No,,,,,,
241,3,UTEP,New Mexico,09/17/22,08:00:00 PM,,No,,,,,,
242,3,UTSA,Texas,09/17/22,08:00:00 PM,,No,,,,,,
243,3,Miami,Texas A&M,09/17/22,09:00:00 PM,,No,,,,,,
244,3,San Diego State,Utah,09/17/22,10:00:00 PM,,No,,,,,,
245,3,Fresno State,USC,09/17/22,10:30:00 PM,,No,,,,,,
246,3,North Dakota State,Arizona,09/17/22,11:00:00 PM,,No,,,,,,
247,3,Eastern Michigan,Arizona State,09/17/22,11:00:00 PM,,No,,,,,,
248,3,Duquesne,Hawai'i,09/17/22,11:59:00 PM,,No,,,,,,
249,4,West Virginia,Virginia Tech,09/22/22,07:30:00 PM,,No,,,,,,
250,4,Coastal Carolina,Georgia State,09/22/22,07:30:00 PM,,No,,,,,,
251,4,Chattanooga,Illinois,09/22/22,08:30:00 PM,,No,,,,,,
252,4,Virginia,Syracuse,09/23/22,07:00:00 PM,,No,,,,,,
253,4,Nevada,Air Force,09/23/22,08:00:00 PM,,No,,,,,,
254,4,Boise State,UTEP,09/23/22,09:00:00 PM,,No,,,,,,
255,4,Vanderbilt,Alabama,09/24/22,,,No,,,,,,
256,4,Arkansas,Texas A&M,09/24/22,,,No,,,,,,
257,4,Missouri,Auburn,09/24/22,,,No,,,,,,
258,4,Northern Illinois,Kentucky,09/24/22,,,No,,,,,,
259,4,Tulsa,Ole Miss,09/24/22,,,No,,,,,,
260,4,Bowling Green,Mississippi State,09/24/22,,,No,,,,,,
261,4,Florida,Tennessee,09/24/22,,,No,,,,,,
262,4,Arizona,California,09/24/22,,,No,,,,,,
263,4,Utah,Arizona State,09/24/22,,,No,,,,,,
264,4,UCLA,Colorado,09/24/22,,,No,,,,,,
265,4,Oregon,Washington State,09/24/22,,,No,,,,,,
266,4,USC,Oregon State,09/24/22,,,No,,,,,,
267,4,Stanford,Washington,09/24/22,,,No,,,,,,
268,4,TCU,SMU,09/24/22,,,No,,,,,,
269,4,Duke,Kansas,09/24/22,,,No,,,,,,
270,4,Baylor,Iowa State,09/24/22,,,No,,,,,,
271,4,Kansas State,Oklahoma,09/24/22,,,No,,,,,,
272,4,Texas,Texas Tech,09/24/22,,,No,,,,,,
273,4,Notre Dame,North Carolina,09/24/22,,,No,,,,,,
274,4,UConn,NC State,09/24/22,,,No,,,,,,
275,4,Akron,Liberty,09/24/22,,,No,,,,,,
276,4,Iowa,Rutgers,09/24/22,,,No,,,,,,
277,4,Minnesota,Michigan State,09/24/22,,,No,,,,,,
278,4,Miami (OH),Northwestern,09/24/22,,,No,,,,,,
279,4,Wisconsin,Ohio State,09/24/22,,,No,,,,,,
280,4,Indiana,Cincinnati,09/24/22,,,No,,,,,,
281,4,Central Michigan,Penn State,09/24/22,,,No,,,,,,
282,4,Hawai'i,New Mexico State,09/24/22,,,No,,,,,,
283,4,Boston College,Florida State,09/24/22,,,No,,,,,,
284,4,South Florida,Louisville,09/24/22,,,No,,,,,,
285,4,Rhode Island,Pittsburgh,09/24/22,,,No,,,,,,
286,4,Georgia Tech,UCF,09/24/22,,,No,,,,,,
287,4,Clemson,Wake Forest,09/24/22,,,No,,,,,,
288,4,UMass,Temple,09/24/22,,,No,,,,,,
289,4,James Madison,Appalachian State,09/24/22,,,No,,,,,,
290,4,Southern Miss,Tulane,09/24/22,,,No,,,,,,
291,4,Wyoming,BYU,09/24/22,,,No,,,,,,
292,4,Toledo,San Diego State,09/24/22,,,No,,,,,,
293,4,Navy,East Carolina,09/24/22,,,No,,,,,,
